leblanc,top,0.25,1,4
leblanc,jungle,0.6666666666666666,2,3
leblanc,mid,0.5226689478186484,611,1169
leblanc,bot,0.0,0,1
leblanc,support,0.5,1,2
alistar,top,0.0,0,1
alistar,jungle,0.0,0,1
alistar,mid,0.0,0,1
alistar,bot,0.0,0,1
alistar,support,0.5386819484240688,188,349
braum,top,0.0,0,1
braum,jungle,0.0,0,1
braum,mid,0.0,0,1
braum,bot,0.0,0,1
braum,support,0.4642328564380858,941,2027
tristana,top,0.5,6,12
tristana,jungle,0.0,0,1
tristana,mid,0.38095238095238093,48,126
tristana,bot,0.4460431654676259,62,139
tristana,support,0.0,0,1
fiora,top,0.448559670781893,109,243
fiora,jungle,0.0,0,1
fiora,mid,0.42857142857142855,3,7
fiora,bot,0.0,0,1
fiora,support,0.0,0,1
thresh,top,0.0,0,2
thresh,jungle,0.0,0,2
thresh,mid,0.5,1,2
thresh,bot,0.5,1,2
thresh,support,0.5167448091091762,1543,2986
ryze,top,0.5223880597014925,35,67
ryze,jungle,0.0,0,1
ryze,mid,0.4875283446712018,215,441
ryze,bot,0.0,0,1
ryze,support,0.0,0,1
diana,top,0.5,1,2
diana,jungle,0.375,9,24
diana,mid,0.47280334728033474,113,239
diana,bot,0.0,0,1
diana,support,0.0,0,1
aphelios,top,0.0,0,1
aphelios,jungle,0.0,0,1
aphelios,mid,0.2,1,5
aphelios,bot,0.5307741116751269,1673,3152
aphelios,support,0.0,0,1
zoe,top,0.5,1,2
zoe,jungle,0.0,0,2
zoe,mid,0.5290556900726392,874,1652
zoe,bot,0.5,1,2
zoe,support,0.0,0,2
taliyah,top,0.0,0,1
taliyah,jungle,0.45454545454545453,55,121
taliyah,mid,0.49333333333333335,37,75
taliyah,bot,0.5,24,48
taliyah,support,0.0,0,1
gangplank,top,0.4887640449438202,609,1246
gangplank,jungle,0.0,0,1
gangplank,mid,0.16666666666666666,1,6
gangplank,bot,0.0,0,1
gangplank,support,0.0,0,1
kindred,top,0.0,0,1
kindred,jungle,0.4620573355817875,274,593
kindred,mid,0.8,4,5
kindred,bot,0.35714285714285715,5,14
kindred,support,0.0,0,1
caitlyn,top,0.0,0,1
caitlyn,jungle,0.0,0,1
caitlyn,mid,0.0,0,1
caitlyn,bot,0.5387205387205387,480,891
caitlyn,support,0.0,0,1
camille,top,0.5402405180388529,584,1081
camille,jungle,0.75,6,8
camille,mid,0.5116279069767442,22,43
camille,bot,0.0,0,1
camille,support,0.0,0,3
kai'sa,top,0.0,0,1
kai'sa,jungle,0.0,0,1
kai'sa,mid,0.5,3,6
kai'sa,bot,0.44920440636474906,367,817
kai'sa,support,0.0,0,1
kennen,top,0.4767932489451477,226,474
kennen,jungle,0.0,0,1
kennen,mid,0.5,3,6
kennen,bot,0.0,0,1
kennen,support,0.0,0,1
ekko,top,0.7,7,10
ekko,jungle,0.4887459807073955,152,311
ekko,mid,0.5233050847457628,247,472
ekko,bot,0.0,0,1
ekko,support,0.0,0,1
akali 2018,top,0.5345911949685535,85,159
akali 2018,jungle,0.0,0,1
akali 2018,mid,0.5170807453416149,333,644
akali 2018,bot,0.0,0,2
akali 2018,support,0.0,0,1
lissandra,top,0.625,5,8
lissandra,jungle,0.5,1,2
lissandra,mid,0.5133689839572193,96,187
lissandra,bot,0.0,0,1
lissandra,support,0.0,0,2
sett,top,0.5289473684210526,804,1520
sett,jungle,0.514324693042292,377,733
sett,mid,0.5105633802816901,145,284
sett,bot,0.125,1,8
sett,support,0.5067873303167421,336,663
vladimir,top,0.48011363636363635,169,352
vladimir,jungle,0.0,0,1
vladimir,mid,0.48026315789473684,73,152
vladimir,bot,0.25,1,4
vladimir,support,0.0,0,1
nidalee,top,0.0,0,1
nidalee,jungle,0.5578747628083491,588,1054
nidalee,mid,0.0,0,1
nidalee,bot,0.5,1,2
nidalee,support,0.0,0,2
morgana 2019,top,0.0,0,1
morgana 2019,jungle,0.42857142857142855,3,7
morgana 2019,mid,0.4166666666666667,15,36
morgana 2019,bot,0.2222222222222222,2,9
morgana 2019,support,0.5412667946257198,282,521
nocturne,top,0.2857142857142857,2,7
nocturne,jungle,0.48,96,200
nocturne,mid,0.5961538461538461,31,52
nocturne,bot,0.0,0,1
nocturne,support,0.0,0,1
sylas,top,0.5160142348754448,145,281
sylas,jungle,0.49504950495049505,50,101
sylas,mid,0.4733637747336377,311,657
sylas,bot,0.0,0,1
sylas,support,0.6666666666666666,2,3
kled,top,0.45714285714285713,80,175
kled,jungle,0.0,0,1
kled,mid,0.7142857142857143,20,28
kled,bot,0.0,0,1
kled,support,0.3333333333333333,1,3
pyke,top,0.0,0,2
pyke,jungle,0.0,0,1
pyke,mid,0.2222222222222222,2,9
pyke,bot,0.5,6,12
pyke,support,0.38571428571428573,54,140
sion,top,0.5026041666666666,193,384
sion,jungle,0.0,0,2
sion,mid,0.5384615384615384,7,13
sion,bot,0.5,1,2
sion,support,0.14285714285714285,1,7
gnar,top,0.4417910447761194,148,335
gnar,jungle,0.0,0,1
gnar,mid,0.0,0,2
gnar,bot,0.0,0,2
gnar,support,0.0,0,1
cho'gath,top,0.4489795918367347,66,147
cho'gath,jungle,0.0,0,3
cho'gath,mid,0.5555555555555556,20,36
cho'gath,bot,0.0,0,7
cho'gath,support,0.2,1,5
taric,top,0.0,0,1
taric,jungle,0.0,0,1
taric,mid,0.0,0,7
taric,bot,0.0,0,3
taric,support,0.4787701317715959,327,683
shen,top,0.46322067594433397,233,503
shen,jungle,0.52,13,25
shen,mid,0.0,0,1
shen,bot,0.0,0,1
shen,support,0.5180722891566265,43,83
viktor,top,0.4444444444444444,4,9
viktor,jungle,0.0,0,1
viktor,mid,0.47540983606557374,174,366
viktor,bot,0.42857142857142855,3,7
viktor,support,0.0,0,1
zilean,top,0.3,3,10
zilean,jungle,0.0,0,1
zilean,mid,0.4742268041237113,46,97
zilean,bot,0.4,2,5
