
teemo,0.0,0,3
udyr,0.0,0,1
tahmkench,0.0,0,4
master yi,0.08333333333333333,1,12
amumu,0.1111111111111111,1,9
rammus,0.2,1,5
nasus,0.2857142857142857,2,7
warwick 2017,0.2857142857142857,2,7
katarina,0.29411764705882354,5,17
anivia,0.325,13,40
zyra,0.32727272727272727,18,55
ivern,0.3333333333333333,15,45
brand,0.3333333333333333,5,15
seraphine,0.3333333333333333,1,3
kog'maw,0.33532934131736525,56,167
ahri,0.35135135135135137,13,37
talon,0.35294117647058826,6,17
aurelion sol,0.36666666666666664,11,30
singed,0.3684210526315789,7,19
yorick,0.375,18,48
fizz,0.3793103448275862,11,29
zed,0.38571428571428573,27,70
quinn,0.3898305084745763,23,59
pyke,0.389937106918239,62,159
veigar,0.40298507462686567,54,134
kayn,0.4056603773584906,43,106
xerath,0.4098360655737705,25,61
tristana,0.4233576642335766,116,274
jinx,0.43209876543209874,35,81
illaoi,0.43636363636363634,24,55
vayne,0.43915343915343913,83,189
gnar,0.44047619047619047,148,336
nunu & willump,0.44642857142857145,25,56
lulu,0.4470198675496689,270,604
xin zhao 2018,0.4473684210526316,17,38
tryndamere,0.45,9,20
kai'sa,0.45066991473812423,370,821
cho'gath,0.45077720207253885,87,193
fiora,0.45161290322580644,112,248
yuumi,0.4598108747044917,389,846
poppy,0.4625,111,240
sejuani,0.46289424860853434,499,1078
braum,0.464461994076999,941,2026
kindred,0.46469622331691296,283,609
xayah,0.4649122807017544,318,684
maokai,0.4654895666131621,290,623
azir,0.46590289143480634,854,1833
vi,0.4666666666666667,7,15
diana,0.46946564885496184,123,262
corki,0.47030878859857483,396,842
sona,0.47058823529411764,40,85
karma,0.4714573539288113,702,1489
irelia 2018,0.47227191413237923,264,559
ziggs,0.4735772357723577,233,492
lillia,0.4737827715355805,253,534
taric,0.47391304347826085,327,690
shen,0.4753289473684211,289,608
darius,0.47560975609756095,39,82
elise,0.47704367301231804,426,893
jarvan iv,0.4775623268698061,862,1805
viktor,0.47757255936675463,181,379
lucian,0.4788732394366197,510,1065
kennen,0.4790794979079498,229,478
vladimir,0.48118811881188117,243,505
taliyah,0.48132780082987553,116,241
aatrox 2018,0.4830557151062608,841,1741
senna,0.48339117501239465,975,2017
lee sin,0.48555881121808286,1160,2389
shyvana,0.4860335195530726,87,179
mordekaiser 2019,0.4861693210393965,580,1193
rumble,0.486646884272997,328,674
nautilus,0.48670288818987706,1702,3497
gangplank,0.488,610,1250
sivir,0.4883720930232558,84,172
galio 2017,0.48904382470119523,491,1004
sylas,0.48940269749518306,508,1038
ashe,0.49015116811726983,1070,2183
lux,0.49056603773584906,156,318
tahm kench,0.4912974683544304,621,1264
leona,0.49221004039238314,853,1733
jax,0.49266862170087977,168,341
ezreal,0.4934210526315789,1500,3040
heimerdinger,0.4936708860759494,39,79
soraka,0.49387755102040815,121,245
ryze,0.49407114624505927,250,506
zac,0.4944649446494465,134,271
kayle 2019,0.4945054945054945,90,182
transparent,0.49504950495049505,50,101
malphite,0.49516908212560384,205,414
fiddlesticks 2020,0.49523809523809526,52,105
olaf,0.49630238290879214,604,1217
skarner,0.49740932642487046,96,193
zilean,0.49743589743589745,97,195
kled,0.4975369458128079,101,203
jayce,0.49853801169590645,341,684
pantheon 2019,0.49877750611246946,408,818
ornn,0.49953775038520803,1621,3245
annie,0.5,4,8
hecarim,0.5,206,412
neeko,0.5,99,198
twitch,0.5,35,70
sion,0.5012406947890818,202,403
orianna,0.5017884517118038,982,1957
nocturne,0.50390625,129,256
yasuo,0.5045045045045045,168,333
miss fortune,0.5053413841151881,1088,2153
gragas,0.5058043117744611,610,1206
trundle,0.5060408921933085,1089,2152
wukong,0.5060918462980318,540,1067
vel'koz,0.5083798882681564,91,179
qiyana,0.5094339622641509,189,371
rek'sai,0.5096774193548387,474,930
kassadin,0.5114503816793893,201,393
volibear 2020,0.5119798234552333,812,1586
ekko,0.5139240506329114,406,790
thresh,0.5168952827032453,1545,2989
draven,0.5169491525423728,61,118
syndra,0.5180436847103513,1091,2106
janna,0.5189873417721519,41,79
sett,0.5192007492975336,1663,3203
varus 2018,0.5192572214580468,755,1454
kalista,0.51994301994302,730,1404
akali 2018,0.5211970074812967,418,802
swain 2018,0.5227272727272727,23,44
blitzcrank,0.5229357798165137,228,436
lissandra,0.5230769230769231,102,195
leblanc,0.5238500851788757,615,1174
malzahar,0.5245901639344263,32,61
urgot 2017,0.5272727272727272,116,220
graves,0.5286407766990291,1089,2060
zoe,0.5293051359516616,876,1655
renekton,0.5303791685701233,1161,2189
aphelios,0.5305863708399366,1674,3155
morgana 2019,0.5307557117750439,302,569
karthus,0.5315126050420168,253,476
cassiopeia,0.534054054054054,494,925
jhin,0.5348837209302325,460,860
kha'zix,0.5388471177944862,215,399
caitlyn,0.5393258426966292,480,890
alistar,0.5402298850574713,188,348
camille,0.5411140583554377,612,1131
riven,0.5476190476190477,23,42
yone,0.5490196078431373,28,51
samira,0.55,33,60
nidalee,0.5582938388625592,589,1055
rakan,0.5590697674418604,601,1075
nami,0.5609756097560976,23,41
twisted fate,0.5712451861360719,445,779
evelynn 2017,0.5795454545454546,51,88
shaco,0.5833333333333334,14,24
garen,0.5833333333333334,14,24
snydra,0.5875,47,80
bard,0.5947063688999172,719,1209
fiddlesticks,0.6,3,5
volibear,0.6052631578947368,23,38
dr. mundo,0.6388888888888888,23,36
rengar,0.6458333333333334,31,48
volibear 2011,1.0,1,1
teemo,0.0,0,3
udyr,0.0,0,1
tahmkench,0.0,0,4
master yi,0.08333333333333333,1,12
amumu,0.1111111111111111,1,9
rammus,0.2,1,5
nasus,0.2857142857142857,2,7
warwick 2017,0.2857142857142857,2,7
katarina,0.29411764705882354,5,17
anivia,0.325,13,40
zyra,0.32727272727272727,18,55
ivern,0.3333333333333333,15,45
brand,0.3333333333333333,5,15
seraphine,0.3333333333333333,1,3
kog'maw,0.33532934131736525,56,167
ahri,0.35135135135135137,13,37
talon,0.35294117647058826,6,17
aurelion sol,0.36666666666666664,11,30
singed,0.3684210526315789,7,19
yorick,0.375,18,48
fizz,0.3793103448275862,11,29
zed,0.38571428571428573,27,70
quinn,0.3898305084745763,23,59
pyke,0.389937106918239,62,159
veigar,0.40298507462686567,54,134
kayn,0.4056603773584906,43,106
xerath,0.4098360655737705,25,61
tristana,0.4233576642335766,116,274
jinx,0.43209876543209874,35,81
illaoi,0.43636363636363634,24,55
vayne,0.43915343915343913,83,189
gnar,0.44047619047619047,148,336
nunu & willump,0.44642857142857145,25,56
lulu,0.4470198675496689,270,604
xin zhao 2018,0.4473684210526316,17,38
tryndamere,0.45,9,20
kai'sa,0.45066991473812423,370,821
cho'gath,0.45077720207253885,87,193
fiora,0.45161290322580644,112,248
yuumi,0.4598108747044917,389,846
poppy,0.4625,111,240
sejuani,0.46289424860853434,499,1078
braum,0.464461994076999,941,2026
kindred,0.46469622331691296,283,609
xayah,0.4649122807017544,318,684
maokai,0.4654895666131621,290,623
azir,0.46590289143480634,854,1833
vi,0.4666666666666667,7,15
diana,0.46946564885496184,123,262
corki,0.47030878859857483,396,842
sona,0.47058823529411764,40,85
karma,0.4714573539288113,702,1489
irelia 2018,0.47227191413237923,264,559
ziggs,0.4735772357723577,233,492
lillia,0.4737827715355805,253,534
taric,0.47391304347826085,327,690
shen,0.4753289473684211,289,608
darius,0.47560975609756095,39,82
elise,0.47704367301231804,426,893
jarvan iv,0.4775623268698061,862,1805
viktor,0.47757255936675463,181,379
lucian,0.4788732394366197,510,1065
kennen,0.4790794979079498,229,478
vladimir,0.48118811881188117,243,505
taliyah,0.48132780082987553,116,241
aatrox 2018,0.4830557151062608,841,1741
senna,0.48339117501239465,975,2017
lee sin,0.48555881121808286,1160,2389
shyvana,0.4860335195530726,87,179
mordekaiser 2019,0.4861693210393965,580,1193
rumble,0.486646884272997,328,674
nautilus,0.48670288818987706,1702,3497
gangplank,0.488,610,1250
sivir,0.4883720930232558,84,172
galio 2017,0.48904382470119523,491,1004
sylas,0.48940269749518306,508,1038
ashe,0.49015116811726983,1070,2183
lux,0.49056603773584906,156,318
tahm kench,0.4912974683544304,621,1264
leona,0.49221004039238314,853,1733
jax,0.49266862170087977,168,341
ezreal,0.4934210526315789,1500,3040
heimerdinger,0.4936708860759494,39,79
soraka,0.49387755102040815,121,245
ryze,0.49407114624505927,250,506
zac,0.4944649446494465,134,271
kayle 2019,0.4945054945054945,90,182
transparent,0.49504950495049505,50,101
malphite,0.49516908212560384,205,414
fiddlesticks 2020,0.49523809523809526,52,105
olaf,0.49630238290879214,604,1217
skarner,0.49740932642487046,96,193
zilean,0.49743589743589745,97,195
kled,0.4975369458128079,101,203
jayce,0.49853801169590645,341,684
pantheon 2019,0.49877750611246946,408,818
ornn,0.49953775038520803,1621,3245
annie,0.5,4,8
hecarim,0.5,206,412
neeko,0.5,99,198
twitch,0.5,35,70
sion,0.5012406947890818,202,403
orianna,0.5017884517118038,982,1957
nocturne,0.50390625,129,256
yasuo,0.5045045045045045,168,333
miss fortune,0.5053413841151881,1088,2153
gragas,0.5058043117744611,610,1206
trundle,0.5060408921933085,1089,2152
wukong,0.5060918462980318,540,1067
vel'koz,0.5083798882681564,91,179
qiyana,0.5094339622641509,189,371
rek'sai,0.5096774193548387,474,930
kassadin,0.5114503816793893,201,393
volibear 2020,0.5119798234552333,812,1586
ekko,0.5139240506329114,406,790
thresh,0.5168952827032453,1545,2989
draven,0.5169491525423728,61,118
syndra,0.5180436847103513,1091,2106
janna,0.5189873417721519,41,79
sett,0.5192007492975336,1663,3203
varus 2018,0.5192572214580468,755,1454
kalista,0.51994301994302,730,1404
akali 2018,0.5211970074812967,418,802
swain 2018,0.5227272727272727,23,44
blitzcrank,0.5229357798165137,228,436
lissandra,0.5230769230769231,102,195
leblanc,0.5238500851788757,615,1174
malzahar,0.5245901639344263,32,61
urgot 2017,0.5272727272727272,116,220
graves,0.5286407766990291,1089,2060
zoe,0.5293051359516616,876,1655
renekton,0.5303791685701233,1161,2189
aphelios,0.5305863708399366,1674,3155
morgana 2019,0.5307557117750439,302,569
karthus,0.5315126050420168,253,476
cassiopeia,0.534054054054054,494,925
jhin,0.5348837209302325,460,860
kha'zix,0.5388471177944862,215,399
caitlyn,0.5393258426966292,480,890
alistar,0.5402298850574713,188,348
camille,0.5411140583554377,612,1131
riven,0.5476190476190477,23,42
yone,0.5490196078431373,28,51
samira,0.55,33,60
nidalee,0.5582938388625592,589,1055
rakan,0.5590697674418604,601,1075
nami,0.5609756097560976,23,41
twisted fate,0.5712451861360719,445,779
evelynn 2017,0.5795454545454546,51,88
shaco,0.5833333333333334,14,24
garen,0.5833333333333334,14,24
snydra,0.5875,47,80
bard,0.5947063688999172,719,1209
fiddlesticks,0.6,3,5
volibear,0.6052631578947368,23,38
dr. mundo,0.6388888888888888,23,36
rengar,0.6458333333333334,31,48
volibear 2011,1.0,1,1
teemo,0.0,0,3
udyr,0.0,0,1
tahmkench,0.0,0,4
master yi,0.08333333333333333,1,12
amumu,0.1111111111111111,1,9
rammus,0.2,1,5
nasus,0.2857142857142857,2,7
warwick 2017,0.2857142857142857,2,7
katarina,0.29411764705882354,5,17
anivia,0.325,13,40
zyra,0.32727272727272727,18,55
ivern,0.3333333333333333,15,45
brand,0.3333333333333333,5,15
seraphine,0.3333333333333333,1,3
kog'maw,0.33532934131736525,56,167
ahri,0.35135135135135137,13,37
talon,0.35294117647058826,6,17
aurelion sol,0.36666666666666664,11,30
singed,0.3684210526315789,7,19
yorick,0.375,18,48
fizz,0.3793103448275862,11,29
zed,0.38571428571428573,27,70
quinn,0.3898305084745763,23,59
pyke,0.389937106918239,62,159
veigar,0.40298507462686567,54,134
kayn,0.4056603773584906,43,106
xerath,0.4098360655737705,25,61
tristana,0.4233576642335766,116,274
jinx,0.43209876543209874,35,81
illaoi,0.43636363636363634,24,55
vayne,0.43915343915343913,83,189
gnar,0.44047619047619047,148,336
nunu & willump,0.44642857142857145,25,56
lulu,0.4470198675496689,270,604
xin zhao 2018,0.4473684210526316,17,38
tryndamere,0.45,9,20
kai'sa,0.45066991473812423,370,821
cho'gath,0.45077720207253885,87,193
fiora,0.45161290322580644,112,248
yuumi,0.4598108747044917,389,846
poppy,0.4625,111,240
sejuani,0.46289424860853434,499,1078
braum,0.464461994076999,941,2026
kindred,0.46469622331691296,283,609
xayah,0.4649122807017544,318,684
maokai,0.4654895666131621,290,623
azir,0.46590289143480634,854,1833
vi,0.4666666666666667,7,15
diana,0.46946564885496184,123,262
corki,0.47030878859857483,396,842
sona,0.47058823529411764,40,85
karma,0.4714573539288113,702,1489
irelia 2018,0.47227191413237923,264,559
ziggs,0.4735772357723577,233,492
lillia,0.4737827715355805,253,534
taric,0.47391304347826085,327,690
shen,0.4753289473684211,289,608
darius,0.47560975609756095,39,82
elise,0.47704367301231804,426,893
jarvan iv,0.4775623268698061,862,1805
viktor,0.47757255936675463,181,379
lucian,0.4788732394366197,510,1065
kennen,0.4790794979079498,229,478
vladimir,0.48118811881188117,243,505
taliyah,0.48132780082987553,116,241
aatrox 2018,0.4830557151062608,841,1741
senna,0.48339117501239465,975,2017
lee sin,0.48555881121808286,1160,2389
shyvana,0.4860335195530726,87,179
mordekaiser 2019,0.4861693210393965,580,1193
rumble,0.486646884272997,328,674
nautilus,0.48670288818987706,1702,3497
gangplank,0.488,610,1250
sivir,0.4883720930232558,84,172
galio 2017,0.48904382470119523,491,1004
sylas,0.48940269749518306,508,1038
ashe,0.49015116811726983,1070,2183
lux,0.49056603773584906,156,318
tahm kench,0.4912974683544304,621,1264
leona,0.49221004039238314,853,1733
jax,0.49266862170087977,168,341
ezreal,0.4934210526315789,1500,3040
heimerdinger,0.4936708860759494,39,79
soraka,0.49387755102040815,121,245
ryze,0.49407114624505927,250,506
zac,0.4944649446494465,134,271
kayle 2019,0.4945054945054945,90,182
transparent,0.49504950495049505,50,101
malphite,0.49516908212560384,205,414
fiddlesticks 2020,0.49523809523809526,52,105
olaf,0.49630238290879214,604,1217
skarner,0.49740932642487046,96,193
zilean,0.49743589743589745,97,195
kled,0.4975369458128079,101,203
jayce,0.49853801169590645,341,684
pantheon 2019,0.49877750611246946,408,818
ornn,0.49953775038520803,1621,3245
annie,0.5,4,8
hecarim,0.5,206,412
neeko,0.5,99,198
twitch,0.5,35,70
sion,0.5012406947890818,202,403
orianna,0.5017884517118038,982,1957
nocturne,0.50390625,129,256
yasuo,0.5045045045045045,168,333
miss fortune,0.5053413841151881,1088,2153
gragas,0.5058043117744611,610,1206
trundle,0.5060408921933085,1089,2152
wukong,0.5060918462980318,540,1067
vel'koz,0.5083798882681564,91,179
qiyana,0.5094339622641509,189,371
rek'sai,0.5096774193548387,474,930
kassadin,0.5114503816793893,201,393
volibear 2020,0.5119798234552333,812,1586
ekko,0.5139240506329114,406,790
thresh,0.5168952827032453,1545,2989
draven,0.5169491525423728,61,118
syndra,0.5180436847103513,1091,2106
janna,0.5189873417721519,41,79
sett,0.5192007492975336,1663,3203
varus 2018,0.5192572214580468,755,1454
kalista,0.51994301994302,730,1404
akali 2018,0.5211970074812967,418,802
swain 2018,0.5227272727272727,23,44
blitzcrank,0.5229357798165137,228,436
lissandra,0.5230769230769231,102,195
leblanc,0.5238500851788757,615,1174
malzahar,0.5245901639344263,32,61
urgot 2017,0.5272727272727272,116,220
graves,0.5286407766990291,1089,2060
zoe,0.5293051359516616,876,1655
renekton,0.5303791685701233,1161,2189
aphelios,0.5305863708399366,1674,3155
morgana 2019,0.5307557117750439,302,569
karthus,0.5315126050420168,253,476
cassiopeia,0.534054054054054,494,925
jhin,0.5348837209302325,460,860
kha'zix,0.5388471177944862,215,399
caitlyn,0.5393258426966292,480,890
alistar,0.5402298850574713,188,348
camille,0.5411140583554377,612,1131
riven,0.5476190476190477,23,42
yone,0.5490196078431373,28,51
samira,0.55,33,60
nidalee,0.5582938388625592,589,1055
rakan,0.5590697674418604,601,1075
nami,0.5609756097560976,23,41
twisted fate,0.5712451861360719,445,779
evelynn 2017,0.5795454545454546,51,88
shaco,0.5833333333333334,14,24
garen,0.5833333333333334,14,24
snydra,0.5875,47,80
bard,0.5947063688999172,719,1209
fiddlesticks,0.6,3,5
volibear,0.6052631578947368,23,38
dr. mundo,0.6388888888888888,23,36
rengar,0.6458333333333334,31,48
volibear 2011,1.0,1,1
